"county_areas","region","date","month","year","quarter","rate_homicide_uns","rate_offences_against_the_person_uns","rate_sexual_offences_uns","rate_burglary_uns","rate_robbery_uns","rate_theft_and_handling_uns","rate_fraud_and_forgery_uns","rate_criminal_damage_uns","rate_drugs_offences_uns","rate_public_order_offences_uns","rate_all_other_offences_uns","rate_motoring_offences_uns","rate_l_motoring_offences_uns"
"Gwent","Cymru/Wales","2016-06-01","Jun",2016,"Q2_2016",0,19.2,26.7,35.3,50,7.2,0,14.3,6,16.7,0,18.6,100
"Hampshire","Oxfordshire","2016-06-01","Jun",2016,"Q2_2016",0,15.5,11.6,6.5,12.5,7.8,10.8,8.7,5.5,8.1,10,10.9,100
"Hertfordshire","Thames and Chiltern","2016-06-01","Jun",2016,"Q2_2016",0,20.8,12.5,11.1,28.6,8.6,7,21.6,8.7,11.8,18.2,16.9,100
"Humberside","Yorkshire and Humberside","2016-06-01","Jun",2016,"Q2_2016",0,14.2,28.6,18.5,11.1,3.2,36.4,6.8,3.4,9.6,13.3,12.5,100
"Kent","South East","2016-06-01","Jun",2016,"Q2_2016",25,20.4,30.6,11.4,0,8.7,8.7,18.5,7.1,21.7,21.1,9,100
"Lancashire","North West","2016-06-01","Jun",2016,"Q2_2016",33.3,20.9,0,22,13.3,6.4,19,10.2,4.5,11.6,19.4,15.5,100
"Leicestershire","East Midlands","2016-06-01","Jun",2016,"Q2_2016",0,15.5,30,20,0,3.3,0,12.9,0,9.3,20,12.6,100
"Lincolnshire","East Midlands","2016-06-01","Jun",2016,"Q2_2016",0,24.8,0,22.7,14.3,5.9,0,4.4,5,13.8,30.8,16.2,100
"Merseyside","Mersey-Cheshire","2016-06-01","Jun",2016,"Q2_2016",0,17.9,32.1,8.1,11.1,5.2,8,8.2,7.7,7.5,10.3,11.8,100
"Metropolitan and City","Greater London","2016-06-01","Jun",2016,"Q2_2016",23.5,29.8,33.2,18,20,14.8,15.7,20.2,8.4,28.2,18.7,23.4,100
"Norfolk","East of England","2016-06-01","Jun",2016,"Q2_2016",100,17,0,15,100,6.2,0,12,5,10.3,0,4,100
"Northamptonshire","East Midlands","2016-06-01","Jun",2016,"Q2_2016",0,24.3,0,22.2,50,8.2,14.3,4,2.8,21.1,8.3,12.3,100
"Northumbria","North East","2016-06-01","Jun",2016,"Q2_2016",50,28.5,25.7,19.7,35.7,11.7,11.5,25.7,8.2,19,18.5,16.4,100
"North Wales","Cymru/Wales","2016-06-01","Jun",2016,"Q2_2016",0,18,8.3,0,0,7.6,0,14.7,6,7.8,9.1,13,100
"North Yorkshire","Yorkshire and Humberside","2016-06-01","Jun",2016,"Q2_2016",0,17.5,16.7,6.3,0,4.9,11.1,0,9.3,9.1,18.2,5,100
"Nottinghamshire","East Midlands","2016-06-01","Jun",2016,"Q2_2016",0,19.8,26.7,32.1,15,9.2,21.1,21.5,5.2,15.5,10,16.7,100
"South Wales","Cymru/Wales","2016-06-01","Jun",2016,"Q2_2016",0,25.8,27.8,19.4,0,5.9,11.8,12,4.3,9.4,8.7,25.8,100
"South Yorkshire","Yorkshire and Humberside","2016-06-01","Jun",2016,"Q2_2016",0,19.6,16.7,16.7,50,7.1,0,9.1,5.8,8.1,3.7,12.5,100
"Staffordshire","West Midlands","2016-06-01","Jun",2016,"Q2_2016",0,22.3,12.5,22.2,16.7,7.5,8.3,15.6,2.2,8.6,11.5,20.4,100
"Suffolk","East of England","2016-06-01","Jun",2016,"Q2_2016",0,11.1,33.3,6.7,0,5.3,0,10,0,8.3,12.5,3.6,100
"Surrey","South East","2016-06-01","Jun",2016,"Q2_2016",0,21.3,64.3,19,0,7.8,11.1,22.7,5.9,3.3,21.4,13.6,100
"Sussex","South East","2016-06-01","Jun",2016,"Q2_2016",0,16.7,34,25.7,27.3,7,0,18,7.9,10.1,0,5.9,100
"Thames Valley","Thames and Chiltern","2016-06-01","Jun",2016,"Q2_2016",16.7,22.6,34.4,39.1,6.7,9.9,16.7,20.9,1.9,21.4,7.7,11.2,100
"Warwickshire","West Midlands","2016-06-01","Jun",2016,"Q2_2016",0,18.6,10,9.1,50,2.5,20,15.4,0,11.5,0,25.4,100
"West Mercia","West Midlands","2016-06-01","Jun",2016,"Q2_2016",0,12.4,21.4,13.6,0,5.7,0,14.3,9.2,10.9,0,12.6,100
"West Midlands","West Midlands","2016-06-01","Jun",2016,"Q2_2016",33.3,20.6,34.7,18.7,17.8,5.8,14.3,10.4,4.5,16.4,19.3,15.9,100
"West Yorkshire","Yorkshire and Humberside","2016-06-01","Jun",2016,"Q2_2016",0,20.1,26.6,9,4.8,5.4,15.2,8.2,5.4,13.8,2.3,14.4,100
"Wiltshire","Oxfordshire","2016-06-01","Jun",2016,"Q2_2016",0,14.7,28.6,0,0,7.1,11.1,19.2,3.3,2.7,33.3,11.5,100
"Avon and Somerset","South West","2016-07-01","Jul",2016,"Q3_2016",66.7,22.6,17.2,7.9,12.5,6.5,18.8,12.1,2,12,20,13.6,100
"Bedfordshire","Thames and Chiltern","2016-07-01","Jul",2016,"Q3_2016",40,16.2,22.2,4.3,25,14.6,0,0,6.1,23.8,33.3,20,100
"Cambridgeshire","East of England","2016-07-01","Jul",2016,"Q3_2016",0,15.9,16.7,11.8,20,3.4,0,12.1,2.7,12.5,0,11.6,100
"Cheshire","Mersey-Cheshire","2016-07-01","Jul",2016,"Q3_2016",0,15.6,27.6,26.3,66.7,5,0,13,1.9,8.7,12.5,8.2,100
"Cleveland","North East","2016-07-01","Jul",2016,"Q3_2016",0,22.5,8.3,9.3,44.4,6.7,0,21.6,3.8,22,26.3,3.4,100
"Cumbria","North West","2016-07-01","Jul",2016,"Q3_2016",0,21.3,16.7,10,0,8.6,12.5,21.9,8.1,10.7,0,8.6,100
"Derbyshire","East Midlands","2016-07-01","Jul",2016,"Q3_2016",0,18.3,0,17.6,0,7.9,0,16.7,12.7,16.9,20,17.1,100
"Devon and Cornwall","South West","2016-07-01","Jul",2016,"Q3_2016",33.3,20.8,11.1,9.1,20,4.3,25,7.5,0,16.4,0,12.5,100
"Dorset","Oxfordshire","2016-07-01","Jul",2016,"Q3_2016",0,12.8,23.1,25,0,3.8,0,7.7,2.3,14.3,0,13.2,100
"Durham","North East","2016-07-01","Jul",2016,"Q3_2016",100,18.1,14.3,6.3,25,5.4,7.7,19.2,0,25.8,0,5.5,100
"Dyfed Powys","Cymru/Wales","2016-07-01","Jul",2016,"Q3_2016",100,15.6,37.5,0,0,6.1,50,0,0,5.6,33.3,16.3,100
"Essex","East of England","2016-07-01","Jul",2016,"Q3_2016",0,19.2,23.7,13.9,35.3,10.3,16.1,19.6,4.9,14.3,28.6,18.1,100
"Gloucestershire","South West","2016-07-01","Jul",2016,"Q3_2016",0,17.3,0,11.1,0,5.9,0,7.7,0,30.6,0,5,100
"GreaterManchester","North West","2016-07-01","Jul",2016,"Q3_2016",0,18.3,27.6,9.4,26.9,6.1,14.6,5.9,13,8.5,5.5,21.9,100
"Gwent","Cymru/Wales","2016-07-01","Jul",2016,"Q3_2016",0,17.3,36.4,9.1,0,7.1,0,21.7,5.7,2.8,25,9.8,100
"Hampshire","Oxfordshire","2016-07-01","Jul",2016,"Q3_2016",0,12.3,23.1,13.9,0,5.4,15.4,12.2,4.4,14.9,6.7,7.8,100
"Hertfordshire","Thames and Chiltern","2016-07-01","Jul",2016,"Q3_2016",50,15,11.8,0,50,10.5,6.1,5.6,2.4,21.6,11.1,16.9,100
"Humberside","Yorkshire and Humberside","2016-07-01","Jul",2016,"Q3_2016",0,16.2,30,22,33.3,2.1,0,12.7,3.8,7.4,10,8,100
"Kent","South East","2016-07-01","Jul",2016,"Q3_2016",0,20.1,31,11.1,0,7.5,13.3,16.7,8.2,13.5,30,12.2,100
"Lancashire","North West","2016-07-01","Jul",2016,"Q3_2016",0,27.4,5.3,13,20,7,9.1,14.5,9.5,10.8,28,19,100
"Leicestershire","East Midlands","2016-07-01","Jul",2016,"Q3_2016",0,20.1,23.5,0,0,4.6,15.4,13.9,2.7,9.8,27.3,10.5,100
"Lincolnshire","East Midlands","2016-07-01","Jul",2016,"Q3_2016",0,23.2,0,0,66.7,9.3,18.2,13.9,2.6,21.2,33.3,21.2,100
"Merseyside","Mersey-Cheshire","2016-07-01","Jul",2016,"Q3_2016",0,14,21.1,12,9.1,2.4,26.5,14.6,5.2,11.1,10,9.8,100
"Metropolitan and City","Greater London","2016-07-01","Jul",2016,"Q3_2016",30,32.3,34.4,19.4,26.4,16,16,26.2,8.7,24.2,21.5,24.7,100
"Norfolk","East of England","2016-07-01","Jul",2016,"Q3_2016",0,18.1,13.3,13,0,5.7,18.2,13,0,8,11.1,3.9,100
"Northamptonshire","East Midlands","2016-07-01","Jul",2016,"Q3_2016",0,22.8,0,0,0,8.2,0,4.8,0,14.3,56,10.5,100
"Northumbria","North East","2016-07-01","Jul",2016,"Q3_2016",14.3,22.4,25.5,16.1,66.7,7.3,17.2,19.8,3,16.4,16.7,15.7,100
"North Wales","Cymru/Wales","2016-07-01","Jul",2016,"Q3_2016",0,21.7,22.6,9.5,0,5.9,20,12.1,4.5,21.1,0,13.6,100
"North Yorkshire","Yorkshire and Humberside","2016-07-01","Jul",2016,"Q3_2016",0,24.1,0,10,0,8.1,50,12.5,7.4,8.8,0,13.3,100
"Nottinghamshire","East Midlands","2016-07-01","Jul",2016,"Q3_2016",16.7,21.9,15.9,32.4,15.8,9.6,21.4,14.8,6.4,25.7,21.1,12.9,100
"South Wales","Cymru/Wales","2016-07-01","Jul",2016,"Q3_2016",0,27.2,24.3,16.3,10,7.4,17.4,19.2,4.7,14.6,5,22.5,100
"South Yorkshire","Yorkshire and Humberside","2016-07-01","Jul",2016,"Q3_2016",42.9,26.3,0,13.8,7.1,5,11.5,11.8,0.8,4.4,5.3,14.3,100
"Staffordshire","West Midlands","2016-07-01","Jul",2016,"Q3_2016",80,27.9,25.8,0,0,2,14.3,12.7,5.8,18.3,7.1,19.4,100
"Suffolk","East of England","2016-07-01","Jul",2016,"Q3_2016",0,14.3,36.4,25,0,8.2,18.2,7.4,2.5,17.4,14.3,2.1,100
"Surrey","South East","2016-07-01","Jul",2016,"Q3_2016",0,25.3,15.6,0,14.3,2,16.7,10.5,5.1,20.7,0,8.2,100
"Sussex","South East","2016-07-01","Jul",2016,"Q3_2016",66.7,21.7,43.2,14.3,72.7,8.2,23.8,17.4,5.3,13.8,20,8.5,100
"Thames Valley","Thames and Chiltern","2016-07-01","Jul",2016,"Q3_2016",0,25.8,35.5,20.7,12.5,9.5,20,13,3.9,19.6,12,10.9,100
"Warwickshire","West Midlands","2016-07-01","Jul",2016,"Q3_2016",0,17.8,11.1,10,0,11.3,26.7,33.3,9.5,8,16.7,13,100
"West Mercia","West Midlands","2016-07-01","Jul",2016,"Q3_2016",0,17.1,36.7,25,50,8.7,8.3,18.6,4.7,16,7.1,19.8,100
"West Midlands","West Midlands","2016-07-01","Jul",2016,"Q3_2016",28.6,24.2,23.1,17.3,17,7.4,18.3,11.1,5.8,18.6,3.8,18.1,100
"West Yorkshire","Yorkshire and Humberside","2016-07-01","Jul",2016,"Q3_2016",12.5,20.2,23.5,12.5,20.8,5.5,15.6,12.7,5.1,16.1,2.1,12.6,100
"Wiltshire","Oxfordshire","2016-07-01","Jul",2016,"Q3_2016",0,5.8,11.1,0,0,6.2,16.7,8.7,7.7,10,0,6.2,100
"Avon and Somerset","South West","2016-08-01","Aug",2016,"Q3_2016",0,15.8,29,8,0,11,0,13.4,15.2,12.5,38.5,17.1,100
"Bedfordshire","Thames and Chiltern","2016-08-01","Aug",2016,"Q3_2016",0,20.2,14.3,22.2,9.1,9.1,20,23.5,8.3,7.7,0,17,100
"Cambridgeshire","East of England","2016-08-01","Aug",2016,"Q3_2016",50,19.9,30,12.5,50,8.7,6.3,19.2,2.6,12.8,0,8.8,100
"Cheshire","Mersey-Cheshire","2016-08-01","Aug",2016,"Q3_2016",0,18.8,28.1,5.3,0,6.5,5.6,7.3,5.1,10.7,5.9,11.1,100
"Cleveland","North East","2016-08-01","Aug",2016,"Q3_2016",0,26.1,0,19.1,0,3.8,0,26.3,8,13,35.7,8.5,100
"Cumbria","North West","2016-08-01","Aug",2016,"Q3_2016",0,12.1,0,20,0,5.8,16.7,22.6,0,4,0,3.5,100
"Derbyshire","East Midlands","2016-08-01","Aug",2016,"Q3_2016",0,19.1,0,23.1,22.2,6.6,22.2,20,8.3,14.7,19,21.3,100
"Devon and Cornwall","South West","2016-08-01","Aug",2016,"Q3_2016",100,18.9,4.5,25,0,4.3,8.7,5.7,6.9,14.1,0,13.6,100
"Dorset","Oxfordshire","2016-08-01","Aug",2016,"Q3_2016",0,16.3,14.3,11.1,20,5.3,0,14.8,0,9.1,0,9.4,100
"Durham","North East","2016-08-01","Aug",2016,"Q3_2016",0,21.6,0,11.1,16.7,4.7,5,8,0,10.3,11.1,5.4,100
"Dyfed Powys","Cymru/Wales","2016-08-01","Aug",2016,"Q3_2016",0,12.6,22.2,20,0,5.9,12.5,10.3,6.3,4.3,0,20.5,100
"Essex","East of England","2016-08-01","Aug",2016,"Q3_2016",0,24.7,37.3,19,21.4,14.9,28.6,7.8,3.3,18.1,9.1,14.9,100
"Gloucestershire","South West","2016-08-01","Aug",2016,"Q3_2016",0,30.8,25,0,100,7.7,14.3,15,6.9,11.8,16.7,6.9,100
"GreaterManchester","North West","2016-08-01","Aug",2016,"Q3_2016",0,20.6,31.4,7.6,37.5,5.6,4.2,11.4,7.6,11.5,10.8,14.7,100
"Gwent","Cymru/Wales","2016-08-01","Aug",2016,"Q3_2016",0,15.2,40,18.2,16.7,5.1,0,26.5,6.8,0,50,12.8,100
"Hampshire","Oxfordshire","2016-08-01","Aug",2016,"Q3_2016",0,16,15.2,3.4,11.1,3.4,8.7,6.1,5.6,8.3,15.4,7.1,100
"Hertfordshire","Thames and Chiltern","2016-08-01","Aug",2016,"Q3_2016",100,21.4,10.5,23.1,0,5.3,8,25,6.2,12.9,21.4,18.8,100
"Humberside","Yorkshire and Humberside","2016-08-01","Aug",2016,"Q3_2016",0,18.4,32.4,26.1,8.3,5.5,0,2.1,5.8,7.9,22.2,14,100
"Kent","South East","2016-08-01","Aug",2016,"Q3_2016",0,19.9,32.4,21.4,20,10.5,8.3,8.1,3.9,12.3,3.8,12.4,100
"Lancashire","North West","2016-08-01","Aug",2016,"Q3_2016",0,16.4,11.1,10.4,16.7,6.7,5,18.9,6.3,15.3,5.3,15.4,100
"Leicestershire","East Midlands","2016-08-01","Aug",2016,"Q3_2016",0,20.1,30,31.3,0,4.4,16.7,16.7,0,5.9,35.7,22.2,100
"Lincolnshire","East Midlands","2016-08-01","Aug",2016,"Q3_2016",0,16.2,0,10,0,12.6,10,12.5,0,11.8,23.1,12.3,100
"Merseyside","Mersey-Cheshire","2016-08-01","Aug",2016,"Q3_2016",0,18,7.7,0,7.1,5.5,0,8.6,4.3,8.3,9.7,10,100
"Metropolitan and City","Greater London","2016-08-01","Aug",2016,"Q3_2016",27.8,32.6,33.2,21.5,23.6,15.3,17.8,23,8.3,23.8,11.6,23.4,100
"Norfolk","East of England","2016-08-01","Aug",2016,"Q3_2016",0,18.3,4.2,0,0,6.3,0,13.6,0,9.9,14.3,9.1,100
"Northamptonshire","East Midlands","2016-08-01","Aug",2016,"Q3_2016",0,19.9,12.5,0,0,5.9,14.3,10,0,12.1,16.7,12.9,100
"Northumbria","North East","2016-08-01","Aug",2016,"Q3_2016",50,25.1,21.9,22.2,25,13.9,11.4,20.5,16.1,20.6,13.6,16.5,100
"North Wales","Cymru/Wales","2016-08-01","Aug",2016,"Q3_2016",0,19.5,9.1,15,25,6.8,22.2,10,7.9,8.7,14.3,10.8,100
"North Yorkshire","Yorkshire and Humberside","2016-08-01","Aug",2016,"Q3_2016",0,18.2,11.1,36,0,5.3,36.4,15.4,0,12.1,0,3.9,100
"Nottinghamshire","East Midlands","2016-08-01","Aug",2016,"Q3_2016",0,24.4,15.6,20,17.6,9.3,21.4,20,10.2,13.7,14.3,11.2,100
"South Wales","Cymru/Wales","2016-08-01","Aug",2016,"Q3_2016",40,27.7,19.5,21.6,16.7,5.9,5.3,11.6,2.6,10.4,21.7,17.2,100
"South Yorkshire","Yorkshire and Humberside","2016-08-01","Aug",2016,"Q3_2016",0,23,11.1,10.3,11.1,4.5,10,13.3,6,8.5,6.3,11.4,100
"Staffordshire","West Midlands","2016-08-01","Aug",2016,"Q3_2016",0,22.2,25.9,11.4,5.9,7.8,0,24.6,0,12.9,12.5,18.1,100
"Suffolk","East of England","2016-08-01","Aug",2016,"Q3_2016",0,13.3,33.3,7.1,0,10.8,20,3.4,3.4,17.4,0,6.1,100
"Surrey","South East","2016-08-01","Aug",2016,"Q3_2016",0,21.3,4.3,9.1,0,5.4,0,14.3,2.9,17.1,0,6.3,100
"Sussex","South East","2016-08-01","Aug",2016,"Q3_2016",0,20.7,40.5,14.3,50,3,19,22.5,3.5,18.9,23.8,7.8,100
"Thames Valley","Thames and Chiltern","2016-08-01","Aug",2016,"Q3_2016",33.3,28,34.1,24,33.3,7.9,14,31.4,4.2,16.9,3.2,15.2,100
"Warwickshire","West Midlands","2016-08-01","Aug",2016,"Q3_2016",0,18.7,37.5,0,0,5.7,20,21.7,0,14.8,0,20.7,100
"West Mercia","West Midlands","2016-08-01","Aug",2016,"Q3_2016",33.3,18.1,15.4,7.7,22.2,7.4,16.7,21.3,6.3,10.5,8.3,12.2,100
"West Midlands","West Midlands","2016-08-01","Aug",2016,"Q3_2016",50,20,34.4,15.7,18.8,5.9,19.7,10.7,5.8,13.9,17.5,15.5,100
"West Yorkshire","Yorkshire and Humberside","2016-08-01","Aug",2016,"Q3_2016",0,21.9,19.7,10,31.3,5.4,12.8,25.7,6.6,11.3,0,14.1,100
"Wiltshire","Oxfordshire","2016-08-01","Aug",2016,"Q3_2016",0,10.7,21.4,44.4,0,4.2,10,4.8,9.3,11.5,0,10.7,100
"Avon and Somerset","South West","2016-09-01","Sep",2016,"Q3_2016",0,17.3,20.9,11.1,0,8.2,5.3,10.4,1.1,14.4,6.3,12.6,100
"Bedfordshire","Thames and Chiltern","2016-09-01","Sep",2016,"Q3_2016",0,28,0,11.1,22.2,11.3,33.3,21.1,2.9,3.4,41.7,17.3,100
"Cambridgeshire","East of England","2016-09-01","Sep",2016,"Q3_2016",0,16.8,18.2,20,100,11.1,28.6,12.5,7.7,28,45.5,12.3,100
"Cheshire","Mersey-Cheshire","2016-09-01","Sep",2016,"Q3_2016",0,19.3,35.7,5.6,0,4,6.7,11.4,6.3,13.7,7.1,7.1,100
"Cleveland","North East","2016-09-01","Sep",2016,"Q3_2016",0,23.8,9.1,6.3,50,8.3,0,18.6,9.3,10.1,16.7,12,100
"Cumbria","North West","2016-09-01","Sep",2016,"Q3_2016",0,12.9,33.3,0,0,4.5,0,8,0,15.4,16.7,10.2,100
"Derbyshire","East Midlands","2016-09-01","Sep",2016,"Q3_2016",0,22.6,0,31.8,11.1,10.7,33.3,16.7,6.5,6.9,0,20.5,100
"Devon and Cornwall","South West","2016-09-01","Sep",2016,"Q3_2016",100,14.2,9.1,7.7,0,5,20,9.7,4.6,10,28.6,4.7,100
"Dorset","Oxfordshire","2016-09-01","Sep",2016,"Q3_2016",0,14.3,15.8,26.7,100,1.2,20,13.6,0,6.8,11.1,9.3,100
"Durham","North East","2016-09-01","Sep",2016,"Q3_2016",0,23.6,0,0,0,5.7,0,9.5,0,16.2,0,8.7,100
"Dyfed Powys","Cymru/Wales","2016-09-01","Sep",2016,"Q3_2016",0,17.5,44.4,0,0,7,18.2,21.4,5.6,8.1,12.5,15.4,100
"Essex","East of England","2016-09-01","Sep",2016,"Q3_2016",0,24.6,23.1,13.3,14.3,13.1,28.6,12.7,6.2,24.2,14.3,13,100
"Gloucestershire","South West","2016-09-01","Sep",2016,"Q3_2016",0,17.6,50,22.2,0,3.6,11.1,0,13.3,14.3,0,7.8,100
"GreaterManchester","North West","2016-09-01","Sep",2016,"Q3_2016",0,17,24.6,7.7,14.3,7.6,17.1,11,7.8,9.6,27.6,19.3,100
"Gwent","Cymru/Wales","2016-09-01","Sep",2016,"Q3_2016",0,17.7,45.5,16.7,0,4.8,37.5,17.2,8,19.4,14.3,11.7,100
"Hampshire","Oxfordshire","2016-09-01","Sep",2016,"Q3_2016",0,11.9,12.5,13,14.3,7.7,15,16.7,9.2,9.7,7.1,8.1,100
"Hertfordshire","Thames and Chiltern","2016-09-01","Sep",2016,"Q3_2016",50,20.7,0,14.8,0,9.9,14.3,21.1,3.5,21.1,5.6,16.8,100
"Humberside","Yorkshire and Humberside","2016-09-01","Sep",2016,"Q3_2016",0,11.9,35.6,15.2,16.7,5.6,0,6.7,6.9,5,25,19.7,100
"Kent","South East","2016-09-01","Sep",2016,"Q3_2016",20,20.7,41.4,20,0,6,6.3,12.3,5.3,15.1,12.1,14.2,100
"Lancashire","North West","2016-09-01","Sep",2016,"Q3_2016",0,20.7,4,12.3,16.7,5.1,3.8,24.4,12.5,5.1,9.7,17.2,100
"Leicestershire","East Midlands","2016-09-01","Sep",2016,"Q3_2016",0,16.7,13.5,17.6,0,5.9,15.4,18.2,12,8.9,33.3,16.4,100
"Lincolnshire","East Midlands","2016-09-01","Sep",2016,"Q3_2016",0,16.2,0,4.3,0,7.5,25,20.6,0,7.8,30.4,13.2,100
"Merseyside","Mersey-Cheshire","2016-09-01","Sep",2016,"Q3_2016",0,20.8,9.1,14.8,7.1,8.3,23.8,14,8.7,10,16.7,8.1,100
"Metropolitan and City","Greater London","2016-09-01","Sep",2016,"Q3_2016",30.8,32.5,31.7,17.8,25.9,19.2,16.4,20.4,8.8,24.1,17.1,24.2,100
"Norfolk","East of England","2016-09-01","Sep",2016,"Q3_2016",0,17.4,16.7,14.3,0,4.7,9.1,7.5,1.5,6.4,34.8,2.8,100
"Northamptonshire","East Midlands","2016-09-01","Sep",2016,"Q3_2016",0,24,0,0,40,3.5,33.3,20,0,15.6,14.3,13.5,100
"Northumbria","North East","2016-09-01","Sep",2016,"Q3_2016",0,29.4,46,7.1,11.1,11.4,13.6,12.8,9.5,19.1,25,13.7,100
"North Wales","Cymru/Wales","2016-09-01","Sep",2016,"Q3_2016",0,17.1,9.5,6.7,20,6.6,6.7,11.6,1.9,6.2,6.7,12.9,100
"North Yorkshire","Yorkshire and Humberside","2016-09-01","Sep",2016,"Q3_2016",0,20.7,33.3,10,0,11.2,16.7,10,5.9,8.3,12.5,6.1,100
"Nottinghamshire","East Midlands","2016-09-01","Sep",2016,"Q3_2016",0,22.9,25,15.4,25,8.3,23.1,15,10.2,15.5,40,13.7,100
"South Wales","Cymru/Wales","2016-09-01","Sep",2016,"Q3_2016",0,26,34.1,10,30.8,9.1,4.8,14.5,5.3,7.7,18.5,21.9,100
"South Yorkshire","Yorkshire and Humberside","2016-09-01","Sep",2016,"Q3_2016",0,19,28.6,6.9,25,5.5,25,13,2.6,8.7,15.4,11.4,100
"Staffordshire","West Midlands","2016-09-01","Sep",2016,"Q3_2016",0,22.3,23.3,11.5,0,4.5,0,15,1.7,12.8,10.5,14.1,100
"Suffolk","East of England","2016-09-01","Sep",2016,"Q3_2016",0,17.9,14.3,0,50,2.4,0,3.8,5,8.6,0,4.8,100
"Surrey","South East","2016-09-01","Sep",2016,"Q3_2016",0,24.1,31.8,5.6,0,11.4,17.9,8.7,6.9,12.8,0,6.8,100
"Sussex","South East","2016-09-01","Sep",2016,"Q3_2016",0,19.1,33.3,27.3,0,8.4,12.5,14.9,2.3,14.5,15.4,7,100
"Thames Valley","Thames and Chiltern","2016-09-01","Sep",2016,"Q3_2016",50,22.7,45.5,16.7,19,5.7,14.7,15,3.8,9.9,18.2,13.9,100
"Warwickshire","West Midlands","2016-09-01","Sep",2016,"Q3_2016",0,12.6,25,20,0,4.9,20,15.4,6.7,12.1,0,10.6,100
"West Mercia","West Midlands","2016-09-01","Sep",2016,"Q3_2016",0,21.9,23.7,22.2,0,4.3,0,11.6,1.4,6.5,0,21.9,100
"West Midlands","West Midlands","2016-09-01","Sep",2016,"Q3_2016",0,20.5,36.2,14.6,29.3,6.4,11.6,12.3,5.2,17.4,12.5,19,100
"West Yorkshire","Yorkshire and Humberside","2016-09-01","Sep",2016,"Q3_2016",0,22.9,18.8,14.6,14.3,6,25.6,19.3,10.7,11.6,4.9,14,100
"Wiltshire","Oxfordshire","2016-09-01","Sep",2016,"Q3_2016",0,15.3,0,30,0,4.5,0,0,0,8.9,0,10.8,100
"Avon and Somerset","South West","2016-10-01","Oct",2016,"Q4_2016",25,17.7,17.3,12.5,0,6.5,4.3,18,5.8,11,6.7,14.6,100
"Bedfordshire","Thames and Chiltern","2016-10-01","Oct",2016,"Q4_2016",0,25.3,25,0,14.3,7.5,12.5,11.8,3.6,20,14.3,28.8,100
"Cambridgeshire","East of England","2016-10-01","Oct",2016,"Q4_2016",0,12.1,16.7,4.5,40,8.6,0,10.3,5.9,8.6,0,9.5,100
"Cheshire","Mersey-Cheshire","2016-10-01","Oct",2016,"Q4_2016",0,19.7,40,6.5,50,5.8,11.1,15,2.4,10.5,15.8,9.5,100
"Cleveland","North East","2016-10-01","Oct",2016,"Q4_2016",0,22,50,15.8,66.7,6.8,5.9,30,3.8,2.1,0,9.5,100
"Cumbria","North West","2016-10-01","Oct",2016,"Q4_2016",0,8.4,0,0,0,3.1,0,17.4,4,7.5,0,12.7,100
"Derbyshire","East Midlands","2016-10-01","Oct",2016,"Q4_2016",0,15.3,11.1,36,16.7,15.7,13.3,15.2,11.3,8.8,14.3,16.9,100
"Devon and Cornwall","South West","2016-10-01","Oct",2016,"Q4_2016",0,14.7,28.6,5.4,0,3.6,18.8,15.6,6.3,17.5,25,10.9,100
"Dorset","Oxfordshire","2016-10-01","Oct",2016,"Q4_2016",0,11.9,12.5,22.2,0,3.8,22.2,6.5,3.3,3.6,0,11.7,100
"Durham","North East","2016-10-01","Oct",2016,"Q4_2016",0,15.3,33.3,12.5,0,6.6,25,4.3,10,14.3,0,3.7,100
"Dyfed Powys","Cymru/Wales","2016-10-01","Oct",2016,"Q4_2016",0,17.9,40,8.3,50,2.8,0,23.8,2,7.1,0,20.5,100
"Essex","East of England","2016-10-01","Oct",2016,"Q4_2016",75,18.9,25.8,13.3,0,9.6,35.5,9.8,6.3,11.5,26.3,15.8,100
"Gloucestershire","South West","2016-10-01","Oct",2016,"Q4_2016",0,22.4,0,0,100,9.8,22.2,6.3,0,23.5,0,8.2,100
"GreaterManchester","North West","2016-10-01","Oct",2016,"Q4_2016",0,19.4,29.8,9.2,10,3,10.7,16.5,8.5,6.9,13.5,16.3,100
"Gwent","Cymru/Wales","2016-10-01","Oct",2016,"Q4_2016",0,16.8,12.5,17.6,0,8,0,18.2,11.4,11.1,14.3,14.4,100
"Hampshire","Oxfordshire","2016-10-01","Oct",2016,"Q4_2016",25,14,25,6.9,20,3.5,13.9,15.8,1.6,19.4,8.7,7.8,100
"Hertfordshire","Thames and Chiltern","2016-10-01","Oct",2016,"Q4_2016",0,23.7,30.4,7.7,0,7.8,9.1,22.9,6.7,22,7.7,17.2,100
"Humberside","Yorkshire and Humberside","2016-10-01","Oct",2016,"Q4_2016",25,10,17.6,12.9,33.3,7,9.1,13.5,5,6.8,0,8.9,100
"Kent","South East","2016-10-01","Oct",2016,"Q4_2016",0,24.4,31,13.3,15.4,8,10.3,18.5,1.1,22.9,9.1,7,100
"Lancashire","North West","2016-10-01","Oct",2016,"Q4_2016",0,19.7,16.7,6,23.8,3.9,9.1,12,11.7,13.8,16.7,18.5,100
"Leicestershire","East Midlands","2016-10-01","Oct",2016,"Q4_2016",0,11.9,16.7,14.3,36.4,6,19,13,10.6,19.7,14.3,15.4,100
