"county_areas","region","date","month","year","quarter","rate_homicide_con","rate_homicide_uns","rate_offences_against_the_person_con","rate_offences_against_the_person_uns","rate_sexual_offences_con","rate_sexual_offences_uns","rate_burglary_con","rate_burglary_uns","rate_robbery_con","rate_robbery_uns","rate_theft_and_handling_con","rate_theft_and_handling_uns","rate_fraud_and_forgery_con","rate_fraud_and_forgery_uns","rate_criminal_damage_con","rate_criminal_damage_uns","rate_drugs_offences_con","rate_drugs_offences_uns","rate_public_order_offences_con","rate_public_order_offences_uns","rate_all_other_offences_con","rate_all_other_offences_uns","rate_motoring_offences_con","rate_motoring_offences_uns","rate_l_motoring_offences_uns"
"Lancashire","North West",2014-09-01,"Sep","2014","Q3_2014",100,0,71.1,28.9,70,30,86,14,95.8,4.2,93.9,6.1,90.9,9.1,83.8,16.2,96.5,3.5,90,10,90.1,9.9,83.8,16.2,100
"Leicestershire","East Midlands",2014-09-01,"Sep","2014","Q3_2014",100,0,75.2,24.8,83.3,16.7,74.3,25.7,78.9,21.1,93.4,6.6,87.5,12.5,84.4,15.6,87.9,12.1,88.4,11.6,90.9,9.1,88.2,11.8,100
"Lincolnshire","East Midlands",2014-09-01,"Sep","2014","Q3_2014",100,0,84.6,15.4,92.3,7.7,87.5,12.5,100,0,90.3,9.7,100,0,96.3,3.7,95.7,4.3,82.2,17.8,86,14,89.9,10.1,100
"Merseyside","Mersey-Cheshire",2014-09-01,"Sep","2014","Q3_2014",0,0,76.8,23.2,72.7,27.3,87,13,76.2,23.8,93.2,6.8,96.3,3.7,82.4,17.6,95.7,4.3,83.3,16.7,86.8,13.2,90.9,9.1,100
"Metropolitan and City","Greater London",2014-09-01,"Sep","2014","Q3_2014",75,25,69.8,30.2,64.8,35.2,76.4,23.6,75.6,24.4,88.9,11.1,89.2,10.8,84.3,15.7,93.1,6.9,82.7,17.3,84.4,15.6,75.9,24.1,100
"Norfolk","East of England",2014-09-01,"Sep","2014","Q3_2014",0,0,80.3,19.7,84.2,15.8,85,15,100,0,89,11,100,0,91.8,8.2,90,10,90.3,9.7,73.9,26.1,90.9,9.1,100
"Northamptonshire","East Midlands",2014-09-01,"Sep","2014","Q3_2014",100,0,77.8,22.2,75,25,81.5,18.5,100,0,84.5,15.5,72.2,27.8,83.8,16.2,92.5,7.5,88.5,11.5,50,50,91.7,8.3,100
"Northumbria","North East",2014-09-01,"Sep","2014","Q3_2014",0,0,63.1,36.9,73.5,26.5,85.7,14.3,81,19,89.2,10.8,95,5,78.8,21.2,84.2,15.8,74.1,25.9,74.2,25.8,83.1,16.9,100
"North Wales","Cymru/Wales",2014-09-01,"Sep","2014","Q3_2014",100,0,80.7,19.3,53.8,46.2,80,20,100,0,92.8,7.2,75,25,93.8,6.3,97.6,2.4,92.4,7.6,86.5,13.5,85.8,14.2,100
"North Yorkshire","Yorkshire and Humberside",2014-09-01,"Sep","2014","Q3_2014",100,0,71.6,28.4,87.5,12.5,69.2,30.8,50,50,90.8,9.2,83.3,16.7,94,6,94.1,5.9,86.2,13.8,77.1,22.9,90,10,100
"Nottinghamshire","East Midlands",2014-09-01,"Sep","2014","Q3_2014",50,50,69.4,30.6,66.7,33.3,90.3,9.7,76.2,23.8,90.8,9.2,87.5,12.5,79.3,20.7,95.3,4.7,84.5,15.5,83.2,16.8,87,13,100
"South Wales","Cymru/Wales",2014-09-01,"Sep","2014","Q3_2014",0,0,69.4,30.6,68,32,86.8,13.2,83.3,16.7,93.4,6.6,100,0,88.6,11.4,97.1,2.9,87.3,12.7,82.9,17.1,96.6,3.4,100
"South Yorkshire","Yorkshire and Humberside",2014-09-01,"Sep","2014","Q3_2014",100,0,72.9,27.1,84.2,15.8,87.7,12.3,60,40,92.3,7.7,66.7,33.3,82.7,17.3,95.6,4.4,89.9,10.1,90.2,9.8,85.6,14.4,100
"Staffordshire","West Midlands",2014-09-01,"Sep","2014","Q3_2014",100,0,70.6,29.4,83.3,16.7,77.8,22.2,71.4,28.6,92.5,7.5,64.7,35.3,81.7,18.3,91,9,84.8,15.2,80.9,19.1,83.3,16.7,100
"Suffolk","East of England",2014-09-01,"Sep","2014","Q3_2014",0,0,85.8,14.2,100,0,69.2,30.8,60,40,97.2,2.8,82.4,17.6,90.2,9.8,97.7,2.3,91,9,50,50,89.5,10.5,100
"Surrey","South East",2014-09-01,"Sep","2014","Q3_2014",0,0,66.3,33.8,69.2,30.8,65.4,34.6,42.9,57.1,89.1,10.9,78.9,21.1,74.3,25.7,85.7,14.3,76.8,23.2,65.5,34.5,85.4,14.6,100
"Sussex","South East",2014-09-01,"Sep","2014","Q3_2014",0,0,73.3,26.7,69.4,30.6,78.1,21.9,83.3,16.7,90,10,90.5,9.5,77.9,22.1,93,7,80,20,82.9,17.1,87.9,12.1,100
"Thames Valley","Thames and Chiltern",2014-09-01,"Sep","2014","Q3_2014",25,75,71.7,28.3,73.2,26.8,83.7,16.3,60,40,90.8,9.2,85.7,14.3,86.4,13.6,94.3,5.7,81.3,18.8,90,10,84,16,100
"Warwickshire","West Midlands",2014-09-01,"Sep","2014","Q3_2014",0,0,77.8,22.2,85.7,14.3,92.3,7.7,100,0,95.5,4.5,100,0,100,0,95.8,4.2,75.8,24.2,87,13,86,14,100
"West Mercia","West Midlands",2014-09-01,"Sep","2014","Q3_2014",100,0,75.6,24.4,92.9,7.1,92,8,85.7,14.3,94.4,5.6,83.3,16.7,89.1,10.9,86.2,13.8,83.1,16.9,96.8,3.2,89.3,10.7,100
"West Midlands","West Midlands",2014-09-01,"Sep","2014","Q3_2014",100,0,75.1,24.9,80.4,19.6,81.7,18.3,65.7,34.3,89.1,10.9,83,17,88.5,11.5,96.1,3.9,82.5,17.5,81.5,18.5,86.1,13.9,100
"West Yorkshire","Yorkshire and Humberside",2014-09-01,"Sep","2014","Q3_2014",100,0,71.1,28.9,58,42,81.3,18.7,73.2,26.8,89.6,10.4,92.9,7.1,86.5,13.5,89.4,10.6,79.1,20.9,85.7,14.3,82.2,17.8,100
"Wiltshire","Oxfordshire",2014-09-01,"Sep","2014","Q3_2014",0,0,82.5,17.5,76.2,23.8,78.6,21.4,80,20,94.1,5.9,100,0,82.4,17.6,93.9,6.1,87.8,12.2,89.6,10.4,93.1,6.9,100
"Avon and Somerset","South West",2014-10-01,"Oct","2014","Q4_2014",100,0,76.5,23.5,58.3,41.7,93.8,6.2,75,25,94.3,5.7,95.2,4.8,94.1,5.9,94.1,5.9,87.3,12.7,83.2,16.8,80.6,19.4,100
"Bedfordshire","Thames and Chiltern",2014-10-01,"Oct","2014","Q4_2014",100,0,71.8,28.2,66.7,33.3,85.7,14.3,76.9,23.1,93.4,6.6,71.4,28.6,75,25,90.9,9.1,92.3,7.7,73.3,26.7,83.7,16.3,100
"Cambridgeshire","East of England",2014-10-01,"Oct","2014","Q4_2014",0,0,80.6,19.4,83.3,16.7,80,20,77.8,22.2,87.4,12.6,100,0,92.3,7.7,97.1,2.9,83.7,16.3,87,13,76.1,23.9,100
"Cheshire","Mersey-Cheshire",2014-10-01,"Oct","2014","Q4_2014",0,0,79.7,20.3,81,19,83.8,16.2,83.3,16.7,94.5,5.5,80.8,19.2,86.3,13.7,93.8,6.2,92.2,7.8,94.1,5.9,92.6,7.4,100
"Cleveland","North East",2014-10-01,"Oct","2014","Q4_2014",100,0,81.3,18.7,85.7,14.3,81,19,100,0,94.3,5.7,80,20,69.6,30.4,89,11,86.9,13.1,75.9,24.1,89.6,10.4,100
"Cumbria","North West",2014-10-01,"Oct","2014","Q4_2014",0,0,87.1,12.9,80,20,71.4,28.6,0,0,95,5,100,0,77.1,22.9,94,6,90,10,93.1,6.9,89.9,10.1,100
"Derbyshire","East Midlands",2014-10-01,"Oct","2014","Q4_2014",100,0,74.2,25.8,73.7,26.3,84,16,76.9,23.1,94.1,5.9,81.3,18.8,75,25,98.4,1.6,86.7,13.3,75.8,24.2,92.5,7.5,100
"Devon and Cornwall","South West",2014-10-01,"Oct","2014","Q4_2014",0,0,75.6,24.4,100,0,88.9,11.1,78.6,21.4,94.7,5.3,88.9,11.1,85.5,14.5,95.2,4.8,91.4,8.6,80,20,90.2,9.8,100
"Dorset","Oxfordshire",2014-10-01,"Oct","2014","Q4_2014",0,0,78.3,21.7,63.6,36.4,100,0,25,75,93.2,6.8,66.7,33.3,96.6,3.4,95.8,4.2,90.6,9.4,88,12,90.8,9.2,100
"Durham","North East",2014-10-01,"Oct","2014","Q4_2014",100,0,84,16,56.3,43.8,83.3,16.7,100,0,86.9,13.1,85.7,14.3,87.7,12.3,93.8,6.3,86.8,13.2,81.8,18.2,90.3,9.7,100
"Dyfed Powys","Cymru/Wales",2014-10-01,"Oct","2014","Q4_2014",0,0,70.5,29.5,66.7,33.3,60,40,100,0,92.1,7.9,88.9,11.1,87.5,12.5,93.3,6.7,87.3,12.7,93.9,6.1,91.8,8.2,100
"Essex","East of England",2014-10-01,"Oct","2014","Q4_2014",0,0,80.9,19.1,69.4,30.6,81.8,18.2,60,40,92.9,7.1,93.5,6.5,79.4,20.6,90.6,9.4,86.4,13.6,78.7,21.3,87.5,12.5,100
"Gloucestershire","South West",2014-10-01,"Oct","2014","Q4_2014",100,0,80.2,19.8,100,0,93.8,6.3,0,0,86.9,13.1,100,0,96.9,3.1,95.7,4.3,80,20,95.2,4.8,83.1,16.9,100
"GreaterManchester","North West",2014-10-01,"Oct","2014","Q4_2014",0,100,77.7,22.3,61,39,90.9,9.1,88.2,11.8,93.1,6.9,90,10,91,9,94,6,89.1,10.9,81,19,87.6,12.4,100
"Gwent","Cymru/Wales",2014-10-01,"Oct","2014","Q4_2014",100,0,79.5,20.5,56.3,43.8,95,5,0,100,94.7,5.3,75,25,92.3,7.7,98.7,1.3,92.2,7.8,85.4,14.6,87.7,12.3,100
"Hampshire","Oxfordshire",2014-10-01,"Oct","2014","Q4_2014",100,0,73,27,65.9,34.1,81.5,18.5,100,0,92,8,76.9,23.1,82,18,93.5,6.5,88.3,11.7,86.4,13.6,86,14,100
"Hertfordshire","Thames and Chiltern",2014-10-01,"Oct","2014","Q4_2014",0,0,72.6,27.4,87.5,12.5,84.4,15.6,77.8,22.2,86.5,13.5,81.3,18.8,87.2,12.8,92.2,7.8,82.9,17.1,68,32,87.1,12.9,100
"Humberside","Yorkshire and Humberside",2014-10-01,"Oct","2014","Q4_2014",0,0,85.9,14.1,58.7,41.3,82.9,17.1,100,0,95.3,4.7,100,0,94,6,98.6,1.4,92.4,7.6,85.7,14.3,92.3,7.7,100
"Kent","South East",2014-10-01,"Oct","2014","Q4_2014",66.7,33.3,70,30,88.2,11.8,77.8,22.2,94.4,5.6,85.6,14.4,81.5,18.5,84.2,15.8,89,11,85,15,78.3,21.7,88.8,11.2,100
"Lancashire","North West",2014-10-01,"Oct","2014","Q4_2014",66.7,33.3,76.4,23.6,64.9,35.1,92.8,7.2,84.6,15.4,93.3,6.7,76.9,23.1,92.3,7.7,96.2,3.8,90.8,9.2,87.4,12.6,85.2,14.8,100
"Leicestershire","East Midlands",2014-10-01,"Oct","2014","Q4_2014",100,0,83.2,16.8,75,25,70,30,100,0,90.2,9.8,90,10,82.2,17.8,85.7,14.3,78.9,21.1,64.7,35.3,95,5,100
"Lincolnshire","East Midlands",2014-10-01,"Oct","2014","Q4_2014",100,0,82.1,17.9,84.6,15.4,86.4,13.6,100,0,85.8,14.2,85.7,14.3,86.2,13.8,92.7,7.3,83.1,16.9,76.5,23.5,85.9,14.1,100
"Merseyside","Mersey-Cheshire",2014-10-01,"Oct","2014","Q4_2014",100,0,84.2,15.8,81.4,18.6,91.9,8.1,72.7,27.3,92.9,7.1,97.1,2.9,89.2,10.8,94.5,5.5,83.1,16.9,83.3,16.7,89,11,100
"Metropolitan and City","Greater London",2014-10-01,"Oct","2014","Q4_2014",92.3,7.7,66.2,33.8,61.8,38.2,79.4,20.6,73.1,26.9,87.8,12.2,87.3,12.7,86.6,13.4,92.3,7.7,82.7,17.3,80.3,19.7,79.1,20.9,100
"Norfolk","East of England",2014-10-01,"Oct","2014","Q4_2014",100,0,86.5,13.5,92.3,7.7,81.8,18.2,33.3,66.7,92.4,7.6,83.3,16.7,94.1,5.9,91.5,8.5,93.5,6.5,63.6,36.4,91.3,8.7,100
"Northamptonshire","East Midlands",2014-10-01,"Oct","2014","Q4_2014",0,0,80.9,19.1,85.7,14.3,78.6,21.4,33.3,66.7,88.8,11.2,72.7,27.3,76.7,23.3,94.4,5.6,82.7,17.3,83.3,16.7,87.7,12.3,100
"Northumbria","North East",2014-10-01,"Oct","2014","Q4_2014",100,0,64.8,35.2,62.9,37.1,85.5,14.5,93.8,6.3,90.2,9.8,80.6,19.4,68.2,31.8,91.9,8.1,72,28,79.2,20.8,81.4,18.6,100
"North Wales","Cymru/Wales",2014-10-01,"Oct","2014","Q4_2014",0,0,79.9,20.1,55.6,44.4,92.6,7.4,75,25,95,5,100,0,82.4,17.6,96.6,3.4,92.2,7.8,93.7,6.3,88.6,11.4,100
"North Yorkshire","Yorkshire and Humberside",2014-10-01,"Oct","2014","Q4_2014",0,0,85.3,14.7,100,0,78.9,21.1,33.3,66.7,89.6,10.4,91.7,8.3,76.7,23.3,92.2,7.8,83.3,16.7,83.3,16.7,92,8,100
"Nottinghamshire","East Midlands",2014-10-01,"Oct","2014","Q4_2014",66.7,33.3,75.2,24.8,80,20,86,14,81,19,92.1,7.9,100,0,86.4,13.6,88.6,11.4,86.1,13.9,78.3,21.7,94.4,5.6,100
"South Wales","Cymru/Wales",2014-10-01,"Oct","2014","Q4_2014",100,0,72,28,60,40,77.9,22.1,77.8,22.2,92.3,7.7,78.6,21.4,86.1,13.9,94,6,85.3,14.7,84.4,15.6,86.9,13.1,100
"South Yorkshire","Yorkshire and Humberside",2014-10-01,"Oct","2014","Q4_2014",50,50,81.7,18.3,71.4,28.6,85.4,14.6,94.1,5.9,95,5,96.2,3.8,84.1,15.9,97.7,2.3,87.8,12.2,84.6,15.4,95.1,4.9,100
"Staffordshire","West Midlands",2014-10-01,"Oct","2014","Q4_2014",100,0,71.9,28.1,82.1,17.9,89.2,10.8,54.5,45.5,89.7,10.3,100,0,87.7,12.3,91.5,8.5,90.5,9.5,81.3,18.8,82.7,17.3,100
"Suffolk","East of England",2014-10-01,"Oct","2014","Q4_2014",0,0,80.5,19.5,100,0,94.4,5.6,100,0,90.4,9.6,80,20,89.2,10.8,94.6,5.4,91.1,8.9,93.8,6.3,89,11,100
"Surrey","South East",2014-10-01,"Oct","2014","Q4_2014",0,0,55.1,44.9,66.7,33.3,82.1,17.9,70,30,77.4,22.6,70,30,63,37,91.2,8.8,75.3,24.7,72.1,27.9,83.8,16.2,100
"Sussex","South East",2014-10-01,"Oct","2014","Q4_2014",100,0,77,23,69.4,30.6,87.5,12.5,71.4,28.6,93.7,6.3,81.3,18.8,78.3,21.7,96.6,3.4,86.6,13.4,76.9,23.1,83.5,16.5,100
"Thames Valley","Thames and Chiltern",2014-10-01,"Oct","2014","Q4_2014",100,0,71.1,28.9,74.1,25.9,78.6,21.4,70.6,29.4,88.3,11.7,77.4,22.6,82.9,17.1,92.2,7.8,83.5,16.5,71,29,79.5,20.5,100
"Warwickshire","West Midlands",2014-10-01,"Oct","2014","Q4_2014",100,0,76.8,23.2,75,25,73.1,26.9,100,0,96.9,3.1,87.5,12.5,100,0,100,0,83.9,16.1,83.3,16.7,72.2,27.8,0
"West Mercia","West Midlands",2014-10-01,"Oct","2014","Q4_2014",100,0,76,24,76.9,23.1,95.7,4.3,85.7,14.3,92.1,7.9,100,0,84.1,15.9,97.8,2.2,84,16,83.6,16.4,86.8,13.2,100
"West Midlands","West Midlands",2014-10-01,"Oct","2014","Q4_2014",100,0,70.1,29.9,70,30,75.5,24.5,74.3,25.7,90.4,9.6,93.3,6.7,85.6,14.4,92.4,7.6,84.1,15.9,82.6,17.4,82.1,17.9,100
"West Yorkshire","Yorkshire and Humberside",2014-10-01,"Oct","2014","Q4_2014",81.8,18.2,75.8,24.2,69.8,30.2,83.9,16.1,90.9,9.1,93.5,6.5,75.7,24.3,83.6,16.4,90.1,9.9,82.8,17.2,84.2,15.8,86.3,13.7,100
"Wiltshire","Oxfordshire",2014-10-01,"Oct","2014","Q4_2014",0,0,72,28,66.7,33.3,66.7,33.3,83.3,16.7,94.2,5.8,84.6,15.4,86.7,13.3,97.3,2.7,88.1,11.9,81.3,18.8,87.4,12.6,100
"Avon and Somerset","South West",2014-11-01,"Nov","2014","Q4_2014",100,0,77.2,22.8,67.5,32.5,96.4,3.6,91.7,8.3,94.5,5.5,78.9,21.1,91.1,8.9,90.9,9.1,79.3,20.7,80.9,19.1,80.6,19.4,100
"Bedfordshire","Thames and Chiltern",2014-11-01,"Nov","2014","Q4_2014",100,0,65.4,34.6,75,25,88.2,11.8,82.4,17.6,79.4,20.6,85.7,14.3,81,19,97.6,2.4,85.4,14.6,75,25,87.8,12.2,100
"Cambridgeshire","East of England",2014-11-01,"Nov","2014","Q4_2014",100,0,87.1,12.9,80,20,100,0,100,0,87.6,12.4,100,0,88.2,11.8,90.5,9.5,91.4,8.6,85.4,14.6,92.2,7.8,100
"Cheshire","Mersey-Cheshire",2014-11-01,"Nov","2014","Q4_2014",80,20,78.9,21.1,100,0,90.9,9.1,100,0,94,6,96.2,3.8,87.9,12.1,96.9,3.1,88.6,11.4,80,20,95.5,4.5,100
"Cleveland","North East",2014-11-01,"Nov","2014","Q4_2014",100,0,75.2,24.8,80,20,86.2,13.8,100,0,93.5,6.5,100,0,84.1,15.9,96.6,3.4,79.8,20.2,88.9,11.1,87.2,12.8,100
"Cumbria","North West",2014-11-01,"Nov","2014","Q4_2014",0,0,82,18,100,0,100,0,100,0,97.1,2.9,80,20,94.7,5.3,96.9,3.1,88.5,11.5,85.7,14.3,82.7,17.3,100
"Derbyshire","East Midlands",2014-11-01,"Nov","2014","Q4_2014",0,0,70.8,29.2,78.9,21.1,70.7,29.3,64.3,35.7,87.8,12.2,91.7,8.3,87.2,12.8,93.2,6.8,81.4,18.6,86.7,13.3,87.6,12.4,100
"Devon and Cornwall","South West",2014-11-01,"Nov","2014","Q4_2014",16.7,83.3,74.9,25.1,90,10,95.8,4.2,100,0,95.2,4.8,100,0,86,14,92.5,7.5,85.9,14.1,84.7,15.3,92.1,7.9,100
"Dorset","Oxfordshire",2014-11-01,"Nov","2014","Q4_2014",0,0,77.3,22.7,50,50,91.3,8.7,71.4,28.6,93.6,6.4,100,0,90,10,97.6,2.4,92.5,7.5,76.9,23.1,94.6,5.4,100
"Durham","North East",2014-11-01,"Nov","2014","Q4_2014",0,0,78.3,21.7,80,20,87.5,12.5,100,0,91.5,8.5,100,0,83.9,16.1,100,0,64.1,35.9,62.1,37.9,95,5,100
"Dyfed Powys","Cymru/Wales",2014-11-01,"Nov","2014","Q4_2014",100,0,66.7,33.3,87.5,12.5,75,25,100,0,83.3,16.7,85.7,14.3,87.5,12.5,96.9,3.1,90.3,9.7,88.2,11.8,89,11,100
"Essex","East of England",2014-11-01,"Nov","2014","Q4_2014",0,100,78.3,21.7,68.5,31.5,88.9,11.1,50,50,91.2,8.8,70.6,29.4,81.7,18.3,94.4,5.6,85.7,14.3,86.8,13.2,86.9,13.1,100
"Gloucestershire","South West",2014-11-01,"Nov","2014","Q4_2014",0,0,84.9,15.1,60,40,100,0,78.6,21.4,97.3,2.7,100,0,77.8,22.2,95.5,4.5,76.9,23.1,88.2,11.8,92.6,7.4,100
"GreaterManchester","North West",2014-11-01,"Nov","2014","Q4_2014",33.3,66.7,82.1,17.9,60.3,39.7,89.7,10.3,89.3,10.7,93.5,6.5,96.9,3.1,90,10,91.4,8.6,92.9,7.1,82.3,17.7,86.8,13.2,100
"Gwent","Cymru/Wales",2014-11-01,"Nov","2014","Q4_2014",0,0,74.4,25.6,87.5,12.5,84.2,15.8,0,0,96.2,3.8,87.5,12.5,97.2,2.8,94.1,5.9,97.3,2.7,86.2,13.8,93.6,6.4,100
"Hampshire","Oxfordshire",2014-11-01,"Nov","2014","Q4_2014",100,0,76.3,23.7,63.2,36.8,75.6,24.4,75,25,93.5,6.5,86.4,13.6,91.5,8.5,90.4,9.6,80.7,19.3,93.5,6.5,85.4,14.6,100
"Hertfordshire","Thames and Chiltern",2014-11-01,"Nov","2014","Q4_2014",0,0,73.4,26.6,100,0,81.3,18.8,71.4,28.6,86,14,100,0,83,17,91.7,8.3,90.2,9.8,66.7,33.3,79.3,20.7,100
"Humberside","Yorkshire and Humberside",2014-11-01,"Nov","2014","Q4_2014",0,0,86.8,13.2,72.7,27.3,86.7,13.3,42.9,57.1,94.5,5.5,77.8,22.2,95.2,4.8,92.2,7.8,94.3,5.7,92.3,7.7,81.5,18.5,100
"Kent","South East",2014-11-01,"Nov","2014","Q4_2014",100,0,68.6,31.4,77.1,22.9,80,20,92.9,7.1,84.6,15.4,78.9,21.1,76.8,23.2,93.1,6.9,81.3,18.8,76.6,23.4,82.5,17.5,100
"Lancashire","North West",2014-11-01,"Nov","2014","Q4_2014",100,0,73.7,26.3,66,34,94.1,5.9,91.7,8.3,95.8,4.2,90,10,83.9,16.1,96.3,3.7,89.5,10.5,77.8,22.2,86.4,13.6,100
"Leicestershire","East Midlands",2014-11-01,"Nov","2014","Q4_2014",100,0,81.9,18.1,61.9,38.1,96.9,3.1,91.7,8.3,93.7,6.3,57.1,42.9,81.1,18.9,88.1,11.9,81.8,18.2,93.8,6.3,86.4,13.6,100
"Lincolnshire","East Midlands",2014-11-01,"Nov","2014","Q4_2014",0,0,77.7,22.3,84.6,15.4,92.9,7.1,100,0,94.6,5.4,87.5,12.5,92,8,88,12,90.2,9.8,76,24,78.4,21.6,100
"Merseyside","Mersey-Cheshire",2014-11-01,"Nov","2014","Q4_2014",0,0,78.2,21.8,85.3,14.7,87.9,12.1,78.3,21.7,93.8,6.3,90.9,9.1,88.7,11.3,94.7,5.3,78.2,21.8,89.8,10.2,88.8,11.3,100
"Metropolitan and City","Greater London",2014-11-01,"Nov","2014","Q4_2014",81.3,18.8,68.9,31.1,55.3,44.7,75.7,24.3,77.3,22.7,89.7,10.3,83,17,86.4,13.6,94.9,5.1,82.2,17.8,82.7,17.3,79.3,20.7,100
"Norfolk","East of England",2014-11-01,"Nov","2014","Q4_2014",0,0,77,23,94.7,5.3,100,0,100,0,90.1,9.9,100,0,88,12,96,4,90.7,9.3,81.8,18.2,90.8,9.2,100
"Northamptonshire","East Midlands",2014-11-01,"Nov","2014","Q4_2014",0,0,77.9,22.1,69.2,30.8,75,25,62.5,37.5,86.2,13.8,58.3,41.7,80.8,19.2,88,12,89.7,10.3,72.7,27.3,90,10,100
"Northumbria","North East",2014-11-01,"Nov","2014","Q4_2014",100,0,72.9,27.1,60,40,89.7,10.3,100,0,84.3,15.7,69.8,30.2,67.9,32.1,87,13,75,25,77.3,22.7,78.3,21.7,100
"North Wales","Cymru/Wales",2014-11-01,"Nov","2014","Q4_2014",0,0,74.1,25.9,66.7,33.3,76.7,23.3,66.7,33.3,96.7,3.3,100,0,82.2,17.8,100,0,91.9,8.1,80,20,81.5,18.5,100
"North Yorkshire","Yorkshire and Humberside",2014-11-01,"Nov","2014","Q4_2014",100,0,78.4,21.6,50,50,100,0,100,0,90.1,9.9,100,0,81.3,18.8,88.6,11.4,80.9,19.1,80,20,90.3,9.7,100
"Nottinghamshire","East Midlands",2014-11-01,"Nov","2014","Q4_2014",0,100,74,26,76.5,23.5,95.2,4.8,75,25,93.1,6.9,55.6,44.4,93,7,98.3,1.7,86.8,13.2,88.9,11.1,92.6,7.4,100
"South Wales","Cymru/Wales",2014-11-01,"Nov","2014","Q4_2014",0,0,70.1,29.9,76.9,23.1,87,13,88.9,11.1,92.5,7.5,100,0,85.7,14.3,95.2,4.8,81.1,18.9,82.2,17.8,93.2,6.8,100
"South Yorkshire","Yorkshire and Humberside",2014-11-01,"Nov","2014","Q4_2014",0,0,73.8,26.2,93.3,6.7,76.6,23.4,86.4,13.6,93.2,6.8,85.7,14.3,79.8,20.2,96.6,3.4,85.5,14.5,71.4,28.6,93.4,6.6,100
"Staffordshire","West Midlands",2014-11-01,"Nov","2014","Q4_2014",100,0,74.4,25.6,66.7,33.3,83.3,16.7,60,40,92.6,7.4,90.9,9.1,86,14,90.8,9.2,80,20,81.8,18.2,79.7,20.3,100
"Suffolk","East of England",2014-11-01,"Nov","2014","Q4_2014",0,0,77.5,22.5,78.6,21.4,100,0,100,0,94.3,5.7,100,0,91.9,8.1,90.7,9.3,88,12,81.8,18.2,92.2,7.8,100
"Surrey","South East",2014-11-01,"Nov","2014","Q4_2014",0,0,59.1,40.9,70,30,50,50,100,0,80,20,100,0,76.2,23.8,95.3,4.7,82.8,17.2,76.6,23.4,83.6,16.4,100
"Sussex","South East",2014-11-01,"Nov","2014","Q4_2014",100,0,72.1,27.9,56,44,75,25,88.9,11.1,91.4,8.6,95.5,4.5,84.5,15.5,88.7,11.3,84.7,15.3,83.3,16.7,92.2,7.8,100
"Thames Valley","Thames and Chiltern",2014-11-01,"Nov","2014","Q4_2014",83.3,16.7,67.4,32.6,71,29,83.1,16.9,89.5,10.5,88.3,11.7,89.3,10.7,80.7,19.3,85.6,14.4,81.2,18.8,75,25,83.2,16.8,100
"Warwickshire","West Midlands",2014-11-01,"Nov","2014","Q4_2014",0,0,73.1,26.9,71.4,28.6,80,20,100,0,88.2,11.8,60,40,82.4,17.6,100,0,78.9,21.1,92.1,7.9,87.6,12.4,100
"West Mercia","West Midlands",2014-11-01,"Nov","2014","Q4_2014",0,100,80.4,19.6,87.1,12.9,95.2,4.8,83.3,16.7,90.4,9.6,77.8,22.2,84.6,15.4,98.2,1.8,96.2,3.8,92.3,7.7,87.7,12.3,0
"West Midlands","West Midlands",2014-11-01,"Nov","2014","Q4_2014",100,0,73.8,26.2,69.2,30.8,73.1,26.9,66.1,33.9,90,10,71.9,28.1,89.1,10.9,94.2,5.8,71.2,28.8,80,20,85.7,14.3,100
"West Yorkshire","Yorkshire and Humberside",2014-11-01,"Nov","2014","Q4_2014",50,50,78.2,21.8,77.8,22.2,84.8,15.2,78.3,21.7,95,5,84.2,15.8,81.7,18.3,93,7,90.1,9.9,71.8,28.2,84.6,15.4,100
"Wiltshire","Oxfordshire",2014-11-01,"Nov","2014","Q4_2014",0,0,83.3,16.7,66.7,33.3,78.6,21.4,80,20,91.4,8.6,100,0,85.7,14.3,100,0,73.7,26.3,93.3,6.7,91.5,8.5,100
"Avon and Somerset","South West",2014-12-01,"Dec","2014","Q4_2014",100,0,77.7,22.3,69.3,30.7,96.2,3.8,75,25,94.8,5.2,92.9,7.1,82.7,17.3,98,2,88,12,92.2,7.8,82.6,17.4,100
"Bedfordshire","Thames and Chiltern",2014-12-01,"Dec","2014","Q4_2014",0,0,70.5,29.5,83.3,16.7,92.9,7.1,85.7,14.3,90.7,9.3,87.5,12.5,76.2,23.8,89.7,10.3,87.5,12.5,66.7,33.3,92.9,7.1,100
"Cambridgeshire","East of England",2014-12-01,"Dec","2014","Q4_2014",0,0,81,19,83.3,16.7,81.8,18.2,80,20,91.8,8.2,100,0,86.2,13.8,95.7,4.3,81.6,18.4,87.5,12.5,88,12,100
"Cheshire","Mersey-Cheshire",2014-12-01,"Dec","2014","Q4_2014",100,0,74,26,78.9,21.1,95.5,4.5,85.7,14.3,92.8,7.2,100,0,97.3,2.7,97,3,88.9,11.1,85.1,14.9,93.3,6.7,100
"Cleveland","North East",2014-12-01,"Dec","2014","Q4_2014",100,0,73.8,26.2,80,20,82.1,17.9,75,25,87.5,12.5,100,0,80.4,19.6,79.5,20.5,78.6,21.4,86.7,13.3,87.2,12.8,0
